step,elapsed_s,step_time_s,training_time_s,grad_norm,learning_rate,loss,rlt_loss,vla_loss
398,161,0.358,0.356,1.23,2.37e-05,0.746,0.746,0.0
399,161,0.357,0.354,3.58,2.37e-05,0.733,0.733,0.0
400,161,0.353,0.35,3.62,2.36e-05,0.74,0.74,0.0
401,162,0.353,0.35,2.02,2.36e-05,0.721,0.721,0.0
402,162,0.354,0.352,2.94,2.36e-05,0.733,0.733,0.0
403,162,0.354,0.352,3.39,2.36e-05,0.717,0.717,0.0
404,163,0.356,0.354,2.62,2.36e-05,0.749,0.749,0.0
405,163,0.355,0.353,2.55,2.36e-05,0.736,0.736,0.0
406,163,0.355,0.353,2.69,2.36e-05,0.72,0.72,0.0
407,164,0.354,0.351,2.41,2.36e-05,0.734,0.734,0.0
408,164,0.353,0.35,1.52,2.36e-05,0.714,0.714,0.0
409,164,0.354,0.351,2.19,2.36e-05,0.732,0.732,0.0
410,165,0.352,0.35,1.5,2.36e-05,0.75,0.75,0.0
411,165,0.353,0.35,2.72,2.35e-05,0.719,0.719,0.0
412,166,0.353,0.351,2.84,2.35e-05,0.744,0.744,0.0
413,166,0.355,0.353,1.77,2.35e-05,0.743,0.743,0.0
414,166,0.354,0.352,2.16,2.35e-05,0.734,0.734,0.0
415,167,0.353,0.35,2.23,2.35e-05,0.71,0.71,0.0
416,167,0.352,0.35,1.74,2.35e-05,0.733,0.733,0.0
417,167,0.354,0.351,2.05,2.35e-05,0.734,0.734,0.0
418,168,0.351,0.349,2.22,2.35e-05,0.69,0.69,0.0
419,168,0.354,0.352,1.34,2.35e-05,0.707,0.707,0.0
420,168,0.354,0.352,2.17,2.35e-05,0.74,0.74,0.0
421,169,0.355,0.352,1.95,2.35e-05,0.728,0.728,0.0
422,169,0.353,0.351,0.68,2.34e-05,0.719,0.719,0.0
423,169,0.353,0.35,1.75,2.34e-05,0.728,0.728,0.0
424,170,0.353,0.351,1.65,2.34e-05,0.705,0.705,0.0
425,170,0.354,0.351,1.45,2.34e-05,0.72,0.72,0.0
426,171,0.352,0.35,1.86,2.34e-05,0.75,0.75,0.0
427,171,0.354,0.351,1.55,2.34e-05,0.736,0.736,0.0
428,171,0.353,0.351,2.41,2.34e-05,0.715,0.715,0.0
429,172,0.353,0.351,2.06,2.34e-05,0.709,0.709,0.0
430,172,0.352,0.35,1.38,2.34e-05,0.755,0.755,0.0
431,172,0.352,0.35,1.78,2.34e-05,0.688,0.688,0.0
432,173,0.353,0.35,2.17,2.33e-05,0.746,0.746,0.0
433,173,0.355,0.353,0.895,2.33e-05,0.705,0.705,0.0
434,173,0.353,0.35,2.38,2.33e-05,0.729,0.729,0.0
435,174,0.356,0.354,1.9,2.33e-05,0.727,0.727,0.0
436,174,0.352,0.349,2.12,2.33e-05,0.722,0.722,0.0
437,174,0.351,0.349,1.86,2.33e-05,0.722,0.722,0.0
438,175,0.354,0.352,1.74,2.33e-05,0.734,0.734,0.0
439,175,0.353,0.35,1.73,2.33e-05,0.719,0.719,0.0
440,176,0.355,0.352,3.28,2.33e-05,0.711,0.711,0.0
441,176,0.354,0.352,2.52,2.33e-05,0.716,0.716,0.0
442,176,0.352,0.35,2.2,2.32e-05,0.726,0.726,0.0
443,177,0.358,0.356,2.12,2.32e-05,0.711,0.711,0.0
444,177,0.357,0.355,1.81,2.32e-05,0.735,0.735,0.0
445,177,0.358,0.355,1.3,2.32e-05,0.72,0.72,0.0
446,178,0.358,0.356,2.17,2.32e-05,0.713,0.713,0.0
447,178,0.354,0.351,1.77,2.32e-05,0.697,0.697,0.0
448,178,0.355,0.352,1.59,2.32e-05,0.749,0.749,0.0
449,180,1.11,1.11,1.74,2.32e-05,0.722,0.722,0.0
450,180,0.351,0.349,1.46,2.32e-05,0.717,0.717,0.0
451,180,0.361,0.359,1.42,2.32e-05,0.712,0.712,0.0
452,181,0.345,0.342,1.63,2.31e-05,0.709,0.709,0.0
453,181,0.362,0.359,1.39,2.31e-05,0.726,0.726,0.0
454,181,0.349,0.347,2.11,2.31e-05,0.716,0.716,0.0
455,182,0.364,0.362,1.68,2.31e-05,0.697,0.697,0.0
456,182,0.348,0.345,1.94,2.31e-05,0.712,0.712,0.0
457,182,0.36,0.358,1.73,2.31e-05,0.704,0.704,0.0
458,183,0.352,0.349,2.16,2.31e-05,0.669,0.669,0.0
459,183,0.354,0.351,2.16,2.31e-05,0.678,0.678,0.0
460,183,0.354,0.352,1.88,2.31e-05,0.764,0.764,0.0
461,184,0.353,0.35,1.88,2.31e-05,0.739,0.739,0.0
462,184,0.353,0.351,1.62,2.3e-05,0.709,0.709,0.0
463,185,0.353,0.351,1.78,2.3e-05,0.686,0.686,0.0
464,185,0.354,0.352,1.51,2.3e-05,0.727,0.727,0.0
465,185,0.354,0.352,1.91,2.3e-05,0.71,0.71,0.0
466,186,0.356,0.354,1.78,2.3e-05,0.715,0.715,0.0
467,186,0.356,0.353,1.63,2.3e-05,0.689,0.689,0.0
468,186,0.355,0.352,1.68,2.3e-05,0.682,0.682,0.0
469,187,0.354,0.352,1.82,2.3e-05,0.734,0.734,0.0
470,187,0.354,0.351,2.27,2.3e-05,0.682,0.682,0.0
471,187,0.355,0.352,1.73,2.29e-05,0.69,0.69,0.0
472,188,0.352,0.35,1.8,2.29e-05,0.701,0.701,0.0
473,188,0.351,0.349,1.59,2.29e-05,0.672,0.672,0.0
474,188,0.353,0.351,1.74,2.29e-05,0.701,0.701,0.0
475,189,0.353,0.351,1.8,2.29e-05,0.667,0.667,0.0
476,189,0.355,0.352,1.95,2.29e-05,0.668,0.668,0.0
477,190,0.354,0.352,1.7,2.29e-05,0.719,0.719,0.0
478,190,0.353,0.35,1.68,2.29e-05,0.707,0.707,0.0
479,190,0.362,0.359,1.58,2.29e-05,0.688,0.688,0.0
480,191,0.359,0.357,1.59,2.29e-05,0.702,0.702,0.0
481,191,0.353,0.351,1.34,2.28e-05,0.7,0.7,0.0
482,191,0.355,0.353,1.84,2.28e-05,0.723,0.723,0.0
483,192,0.354,0.352,1.55,2.28e-05,0.694,0.694,0.0
484,192,0.356,0.353,1.82,2.28e-05,0.707,0.707,0.0
485,192,0.355,0.352,2.0,2.28e-05,0.711,0.711,0.0
486,193,0.351,0.349,1.23,2.28e-05,0.691,0.691,0.0
487,193,0.361,0.359,1.04,2.28e-05,0.704,0.704,0.0
488,194,0.361,0.359,1.57,2.28e-05,0.7,0.7,0.0
489,194,0.355,0.353,1.25,2.28e-05,0.686,0.686,0.0
490,194,0.354,0.351,1.97,2.27e-05,0.701,0.701,0.0
491,195,0.355,0.353,1.95,2.27e-05,0.714,0.714,0.0
492,195,0.355,0.353,1.42,2.27e-05,0.693,0.693,0.0
493,195,0.359,0.357,1.62,2.27e-05,0.68,0.68,0.0
494,196,0.358,0.355,0.871,2.27e-05,0.67,0.67,0.0
495,196,0.359,0.357,1.84,2.27e-05,0.678,0.678,0.0
496,196,0.358,0.355,0.902,2.27e-05,0.7,0.7,0.0
497,197,0.358,0.355,2.11,2.27e-05,0.698,0.698,0.0
498,197,0.356,0.354,1.38,2.27e-05,0.708,0.708,0.0
499,197,0.357,0.355,1.91,2.26e-05,0.694,0.694,0.0
500,198,0.359,0.357,1.59,2.26e-05,0.702,0.702,0.0
501,198,0.355,0.353,2.62,2.26e-05,0.71,0.71,0.0
502,199,0.355,0.353,2.27,2.26e-05,0.693,0.693,0.0
503,199,0.356,0.353,1.48,2.26e-05,0.688,0.688,0.0
504,199,0.352,0.349,2.3,2.26e-05,0.705,0.705,0.0
505,200,0.353,0.35,1.94,2.26e-05,0.697,0.697,0.0
506,200,0.353,0.35,1.9,2.26e-05,0.685,0.685,0.0
507,200,0.352,0.35,2.11,2.25e-05,0.696,0.696,0.0
508,201,0.356,0.354,1.32,2.25e-05,0.661,0.661,0.0
509,201,0.354,0.352,1.06,2.25e-05,0.67,0.67,0.0
510,201,0.357,0.354,0.953,2.25e-05,0.663,0.663,0.0
511,202,0.354,0.351,0.941,2.25e-05,0.691,0.691,0.0
512,202,0.355,0.352,1.11,2.25e-05,0.693,0.693,0.0
513,203,0.354,0.351,0.816,2.25e-05,0.651,0.651,0.0
514,203,0.353,0.351,0.77,2.25e-05,0.674,0.674,0.0
515,203,0.354,0.351,1.32,2.25e-05,0.693,0.693,0.0
516,204,0.359,0.356,1.28,2.24e-05,0.695,0.695,0.0
517,204,0.356,0.353,0.703,2.24e-05,0.68,0.68,0.0
518,204,0.355,0.353,1.39,2.24e-05,0.669,0.669,0.0
519,205,0.354,0.352,1.26,2.24e-05,0.709,0.709,0.0
520,205,0.356,0.353,1.6,2.24e-05,0.695,0.695,0.0
521,205,0.355,0.353,1.15,2.24e-05,0.695,0.695,0.0
522,206,0.353,0.351,2.14,2.24e-05,0.657,0.657,0.0
523,206,0.353,0.35,1.88,2.24e-05,0.681,0.681,0.0
524,206,0.358,0.356,2.23,2.23e-05,0.685,0.685,0.0
525,207,0.359,0.356,1.96,2.23e-05,0.69,0.69,0.0
526,207,0.357,0.354,1.52,2.23e-05,0.685,0.685,0.0
527,208,0.357,0.354,1.71,2.23e-05,0.661,0.661,0.0
528,208,0.354,0.351,0.883,2.23e-05,0.668,0.668,0.0
529,208,0.353,0.35,1.23,2.23e-05,0.689,0.689,0.0
530,209,0.353,0.351,1.03,2.23e-05,0.674,0.674,0.0
531,209,0.354,0.351,1.2,2.23e-05,0.67,0.67,0.0
532,209,0.354,0.352,0.754,2.22e-05,0.659,0.659,0.0
533,210,0.355,0.352,1.14,2.22e-05,0.648,0.648,0.0
534,210,0.355,0.353,1.19,2.22e-05,0.68,0.68,0.0
535,210,0.357,0.354,1.0,2.22e-05,0.667,0.667,0.0
536,211,0.355,0.353,1.4,2.22e-05,0.675,0.675,0.0
537,211,0.354,0.352,0.828,2.22e-05,0.669,0.669,0.0
538,211,0.353,0.351,1.37,2.22e-05,0.661,0.661,0.0
539,212,0.354,0.351,0.875,2.22e-05,0.653,0.653,0.0
540,212,0.354,0.352,1.7,2.22e-05,0.63,0.63,0.0
541,213,0.354,0.352,1.09,2.21e-05,0.663,0.663,0.0
542,213,0.353,0.35,1.91,2.21e-05,0.641,0.641,0.0
543,213,0.353,0.35,1.36,2.21e-05,0.672,0.672,0.0
544,214,0.353,0.351,2.41,2.21e-05,0.656,0.656,0.0
545,214,0.359,0.356,2.23,2.21e-05,0.661,0.661,0.0
546,214,0.357,0.354,1.28,2.21e-05,0.686,0.686,0.0
547,215,0.358,0.355,2.41,2.21e-05,0.7,0.7,0.0
548,215,0.356,0.354,2.17,2.21e-05,0.674,0.674,0.0
549,215,0.357,0.354,3.48,2.2e-05,0.663,0.663,0.0
550,216,0.355,0.353,3.27,2.2e-05,0.674,0.674,0.0
551,216,0.356,0.354,2.2,2.2e-05,0.651,0.651,0.0
552,217,0.353,0.35,2.64,2.2e-05,0.636,0.636,0.0
553,217,0.356,0.354,2.66,2.2e-05,0.651,0.651,0.0
554,217,0.357,0.355,1.81,2.2e-05,0.669,0.669,0.0
555,218,0.357,0.354,3.0,2.2e-05,0.671,0.671,0.0
556,218,0.358,0.355,3.08,2.2e-05,0.659,0.659,0.0
557,218,0.358,0.356,1.0,2.19e-05,0.661,0.661,0.0
558,219,0.357,0.354,5.94,2.19e-05,0.685,0.685,0.0
559,219,0.36,0.357,6.62,2.19e-05,0.682,0.682,0.0
560,219,0.357,0.355,4.25,2.19e-05,0.68,0.68,0.0
561,220,0.358,0.356,3.44,2.19e-05,0.657,0.657,0.0
562,220,0.358,0.355,3.95,2.19e-05,0.669,0.669,0.0
563,220,0.357,0.355,3.47,2.19e-05,0.624,0.624,0.0
564,221,0.356,0.354,2.38,2.18e-05,0.675,0.675,0.0
565,221,0.358,0.355,3.06,2.18e-05,0.656,0.656,0.0
566,222,0.357,0.354,3.39,2.18e-05,0.67,0.67,0.0
567,222,0.357,0.355,1.41,2.18e-05,0.684,0.684,0.0
568,222,0.357,0.355,5.25,2.18e-05,0.654,0.654,0.0
569,223,0.359,0.356,5.78,2.18e-05,0.664,0.664,0.0
570,223,0.358,0.356,4.62,2.18e-05,0.679,0.679,0.0
571,223,0.359,0.356,3.25,2.18e-05,0.678,0.678,0.0
572,224,0.36,0.357,4.31,2.17e-05,0.673,0.673,0.0
573,224,0.36,0.357,5.16,2.17e-05,0.661,0.661,0.0
574,224,0.36,0.357,3.78,2.17e-05,0.66,0.66,0.0
575,225,0.358,0.355,2.41,2.17e-05,0.686,0.686,0.0
576,225,0.357,0.354,3.19,2.17e-05,0.658,0.658,0.0
577,226,0.358,0.356,2.31,2.17e-05,0.679,0.679,0.0
578,226,0.359,0.356,2.16,2.17e-05,0.675,0.675,0.0
579,226,0.359,0.357,2.25,2.17e-05,0.653,0.653,0.0
580,227,0.359,0.356,1.16,2.16e-05,0.659,0.659,0.0
581,227,0.358,0.355,2.44,2.16e-05,0.644,0.644,0.0
582,227,0.357,0.355,2.41,2.16e-05,0.667,0.667,0.0
583,228,0.357,0.355,1.46,2.16e-05,0.69,0.69,0.0
584,228,0.357,0.354,4.19,2.16e-05,0.642,0.642,0.0
585,228,0.356,0.354,4.97,2.16e-05,0.662,0.662,0.0
586,229,0.357,0.354,3.28,2.16e-05,0.647,0.647,0.0
587,229,0.355,0.353,2.14,2.15e-05,0.665,0.665,0.0
588,230,0.356,0.354,2.86,2.15e-05,0.663,0.663,0.0
589,230,0.357,0.355,1.87,2.15e-05,0.656,0.656,0.0
590,230,0.357,0.355,2.0,2.15e-05,0.659,0.659,0.0
591,231,0.352,0.35,2.59,2.15e-05,0.64,0.64,0.0
592,231,0.353,0.35,1.52,2.15e-05,0.631,0.631,0.0
593,231,0.353,0.351,2.67,2.15e-05,0.634,0.634,0.0
594,232,0.354,0.351,2.34,2.15e-05,0.655,0.655,0.0
595,232,0.359,0.357,1.62,2.14e-05,0.655,0.655,0.0
596,232,0.357,0.355,2.34,2.14e-05,0.668,0.668,0.0
597,233,0.352,0.35,2.48,2.14e-05,0.674,0.674,0.0
598,233,0.353,0.35,1.35,2.14e-05,0.645,0.645,0.0
599,233,0.356,0.354,2.33,2.14e-05,0.654,0.654,0.0
600,234,0.354,0.352,2.66,2.14e-05,0.675,0.675,0.0
601,234,0.354,0.351,1.53,2.14e-05,0.652,0.652,0.0
602,235,0.353,0.35,2.3,2.13e-05,0.669,0.669,0.0
603,235,0.353,0.351,2.44,2.13e-05,0.624,0.624,0.0
604,235,0.352,0.349,1.35,2.13e-05,0.651,0.651,0.0
605,236,0.357,0.354,2.73,2.13e-05,0.652,0.652,0.0
606,236,0.361,0.358,3.03,2.13e-05,0.678,0.678,0.0
607,236,0.354,0.351,1.48,2.13e-05,0.636,0.636,0.0
608,237,0.352,0.35,3.52,2.13e-05,0.649,0.649,0.0
609,237,0.354,0.352,4.38,2.12e-05,0.679,0.679,0.0
610,237,0.353,0.351,2.84,2.12e-05,0.649,0.649,0.0
611,238,0.355,0.352,1.7,2.12e-05,0.633,0.633,0.0
612,238,0.354,0.352,2.48,2.12e-05,0.633,0.633,0.0
613,239,0.354,0.352,1.91,2.12e-05,0.661,0.661,0.0
614,239,0.355,0.352,1.73,2.12e-05,0.67,0.67,0.0
615,239,0.356,0.354,1.79,2.12e-05,0.642,0.642,0.0
616,240,0.353,0.351,1.23,2.11e-05,0.666,0.666,0.0
617,240,0.354,0.352,1.46,2.11e-05,0.637,0.637,0.0
618,240,0.354,0.352,2.14,2.11e-05,0.623,0.623,0.0
619,241,0.353,0.35,1.49,2.11e-05,0.625,0.625,0.0
620,241,0.351,0.349,1.0,2.11e-05,0.637,0.637,0.0
621,241,0.353,0.351,1.61,2.11e-05,0.686,0.686,0.0
622,242,0.354,0.351,1.46,2.11e-05,0.66,0.66,0.0
623,242,0.354,0.352,0.992,2.1e-05,0.641,0.641,0.0
624,242,0.352,0.35,2.36,2.1e-05,0.648,0.648,0.0
625,243,0.354,0.351,1.72,2.1e-05,0.634,0.634,0.0
626,243,0.357,0.355,2.41,2.1e-05,0.645,0.645,0.0
627,244,0.354,0.352,1.58,2.1e-05,0.627,0.627,0.0
628,244,0.351,0.349,2.53,2.1e-05,0.662,0.662,0.0
629,244,0.353,0.35,2.03,2.1e-05,0.649,0.649,0.0
630,245,0.351,0.349,3.17,2.09e-05,0.632,0.632,0.0
631,245,0.353,0.351,2.62,2.09e-05,0.647,0.647,0.0
632,245,0.355,0.353,2.67,2.09e-05,0.63,0.63,0.0
633,246,0.354,0.352,2.59,2.09e-05,0.646,0.646,0.0
634,246,0.354,0.352,1.42,2.09e-05,0.664,0.664,0.0
635,246,0.354,0.351,1.46,2.09e-05,0.629,0.629,0.0
636,247,0.351,0.348,1.61,2.09e-05,0.654,0.654,0.0
637,247,0.358,0.356,1.27,2.08e-05,0.655,0.655,0.0
638,247,0.356,0.354,1.73,2.08e-05,0.648,0.648,0.0
639,248,0.352,0.35,1.56,2.08e-05,0.623,0.623,0.0
640,248,0.353,0.351,1.7,2.08e-05,0.647,0.647,0.0
641,249,0.352,0.349,1.31,2.08e-05,0.647,0.647,0.0
642,249,0.353,0.35,1.56,2.08e-05,0.605,0.605,0.0
643,249,0.355,0.353,1.39,2.08e-05,0.622,0.622,0.0
644,250,0.354,0.352,1.65,2.07e-05,0.654,0.654,0.0
645,250,0.355,0.353,1.68,2.07e-05,0.642,0.642,0.0
646,250,0.352,0.349,1.12,2.07e-05,0.634,0.634,0.0
647,251,0.353,0.351,2.2,2.07e-05,0.644,0.644,0.0
648,251,0.352,0.349,1.73,2.07e-05,0.62,0.62,0.0
649,251,0.353,0.35,2.36,2.07e-05,0.637,0.637,0.0
650,252,0.352,0.35,2.14,2.07e-05,0.666,0.666,0.0
651,252,0.355,0.353,1.91,2.06e-05,0.651,0.651,0.0
652,252,0.355,0.353,1.43,2.06e-05,0.63,0.63,0.0
653,253,0.355,0.353,1.61,2.06e-05,0.625,0.625,0.0
654,253,0.352,0.35,1.45,2.06e-05,0.67,0.67,0.0
655,254,0.352,0.35,1.13,2.06e-05,0.604,0.604,0.0
656,254,0.353,0.35,2.0,2.06e-05,0.661,0.661,0.0
657,254,0.354,0.352,1.46,2.06e-05,0.622,0.622,0.0
658,255,0.353,0.351,1.6,2.05e-05,0.646,0.646,0.0
659,255,0.352,0.35,1.59,2.05e-05,0.642,0.642,0.0
660,255,0.355,0.352,1.36,2.05e-05,0.636,0.636,0.0
661,256,0.354,0.352,1.31,2.05e-05,0.639,0.639,0.0
662,256,0.355,0.353,1.03,2.05e-05,0.65,0.65,0.0
663,256,0.356,0.353,2.38,2.05e-05,0.638,0.638,0.0
664,257,0.355,0.352,1.52,2.05e-05,0.626,0.626,0.0
665,257,0.356,0.354,3.11,2.04e-05,0.634,0.634,0.0
666,257,0.355,0.352,2.52,2.04e-05,0.643,0.643,0.0
667,258,0.353,0.35,2.11,2.04e-05,0.631,0.631,0.0
668,258,0.353,0.351,1.97,2.04e-05,0.653,0.653,0.0
669,259,0.351,0.349,1.99,2.04e-05,0.639,0.639,0.0
670,259,0.352,0.35,2.12,2.04e-05,0.632,0.632,0.0
671,259,0.351,0.349,1.92,2.03e-05,0.616,0.616,0.0
672,260,0.35,0.347,2.2,2.03e-05,0.669,0.669,0.0
673,261,0.95,0.947,1.8,2.03e-05,0.642,0.642,0.0
674,261,0.353,0.351,2.05,2.03e-05,0.638,0.638,0.0
675,261,0.361,0.359,1.22,2.03e-05,0.632,0.632,0.0
676,262,0.346,0.344,1.95,2.03e-05,0.631,0.631,0.0
677,262,0.36,0.358,0.902,2.03e-05,0.647,0.647,0.0
678,262,0.348,0.346,2.73,2.02e-05,0.639,0.639,0.0
679,263,0.363,0.361,1.65,2.02e-05,0.62,0.62,0.0
680,263,0.345,0.343,2.83,2.02e-05,0.634,0.634,0.0
681,263,0.362,0.36,2.62,2.02e-05,0.627,0.627,0.0
682,264,0.345,0.343,1.52,2.02e-05,0.591,0.591,0.0
683,264,0.351,0.349,1.72,2.02e-05,0.6,0.6,0.0
684,265,0.354,0.351,1.41,2.02e-05,0.685,0.685,0.0
685,265,0.353,0.351,1.55,2.01e-05,0.66,0.66,0.0
686,265,0.353,0.351,1.23,2.01e-05,0.632,0.632,0.0
687,266,0.355,0.352,1.7,2.01e-05,0.611,0.611,0.0
688,266,0.352,0.349,1.48,2.01e-05,0.649,0.649,0.0
689,266,0.353,0.351,2.23,2.01e-05,0.634,0.634,0.0
690,267,0.353,0.35,2.19,2.01e-05,0.64,0.64,0.0
691,267,0.353,0.35,1.27,2e-05,0.613,0.613,0.0
692,267,0.353,0.351,1.36,2e-05,0.606,0.606,0.0
693,268,0.353,0.351,1.34,2e-05,0.657,0.657,0.0
694,268,0.353,0.35,0.984,2e-05,0.607,0.607,0.0
695,268,0.353,0.351,1.38,2e-05,0.615,0.615,0.0
696,269,0.352,0.35,1.13,2e-05,0.626,0.626,0.0
697,269,0.355,0.352,1.37,1.99e-05,0.598,0.598,0.0
698,270,0.353,0.351,1.12,1.99e-05,0.626,0.626,0.0
699,270,0.354,0.352,0.984,1.99e-05,0.594,0.594,0.0
700,270,0.354,0.352,1.03,1.99e-05,0.592,0.592,0.0
701,271,0.354,0.351,1.09,1.99e-05,0.644,0.644,0.0
702,271,0.354,0.351,1.29,1.99e-05,0.632,0.632,0.0
703,271,0.354,0.352,1.02,1.99e-05,0.615,0.615,0.0
704,272,0.356,0.354,2.05,1.98e-05,0.628,0.628,0.0
705,272,0.354,0.351,1.68,1.98e-05,0.627,0.627,0.0
706,272,0.353,0.35,1.98,1.98e-05,0.65,0.65,0.0
707,273,0.353,0.351,1.7,1.98e-05,0.621,0.621,0.0
708,273,0.353,0.35,1.36,1.98e-05,0.633,0.633,0.0
709,273,0.353,0.351,1.8,1.98e-05,0.638,0.638,0.0
710,274,0.353,0.351,1.08,1.97e-05,0.619,0.619,0.0
711,274,0.354,0.352,3.64,1.97e-05,0.634,0.634,0.0
712,275,0.353,0.351,3.42,1.97e-05,0.631,0.631,0.0
713,275,0.353,0.35,1.42,1.97e-05,0.614,0.614,0.0
714,275,0.352,0.35,2.05,1.97e-05,0.629,0.629,0.0
715,276,0.352,0.35,1.42,1.97e-05,0.642,0.642,0.0
716,276,0.355,0.352,1.44,1.97e-05,0.621,0.621,0.0
717,276,0.354,0.352,1.62,1.96e-05,0.61,0.61,0.0
718,277,0.354,0.352,0.926,1.96e-05,0.6,0.6,0.0
719,277,0.353,0.351,1.23,1.96e-05,0.606,0.606,0.0
720,277,0.354,0.351,1.36,1.96e-05,0.629,0.629,0.0
721,278,0.355,0.353,1.27,1.96e-05,0.626,0.626,0.0
722,278,0.356,0.354,2.23,1.96e-05,0.638,0.638,0.0
723,278,0.354,0.352,1.84,1.95e-05,0.624,0.624,0.0
724,279,0.355,0.352,1.82,1.95e-05,0.633,0.633,0.0
725,279,0.355,0.352,1.75,1.95e-05,0.639,0.639,0.0
726,280,0.357,0.354,1.73,1.95e-05,0.623,0.623,0.0
727,280,0.356,0.353,1.39,1.95e-05,0.618,0.618,0.0
728,280,0.354,0.352,1.42,1.95e-05,0.633,0.633,0.0
729,281,0.354,0.352,1.7,1.94e-05,0.627,0.627,0.0
730,281,0.36,0.358,1.39,1.94e-05,0.616,0.616,0.0
731,281,0.36,0.358,2.3,1.94e-05,0.627,0.627,0.0
732,282,0.354,0.351,2.05,1.94e-05,0.595,0.595,0.0
733,282,0.354,0.351,2.53,1.94e-05,0.605,0.605,0.0
734,282,0.355,0.353,1.96,1.94e-05,0.598,0.598,0.0
735,283,0.355,0.352,2.3,1.93e-05,0.624,0.624,0.0
736,283,0.355,0.352,2.09,1.93e-05,0.627,0.627,0.0
737,284,0.355,0.353,2.11,1.93e-05,0.587,0.587,0.0
738,284,0.357,0.354,1.83,1.93e-05,0.609,0.609,0.0
739,284,0.355,0.353,1.78,1.93e-05,0.629,0.629,0.0
740,285,0.362,0.359,1.77,1.93e-05,0.63,0.63,0.0
741,285,0.357,0.355,1.96,1.93e-05,0.616,0.616,0.0
742,285,0.354,0.352,1.82,1.92e-05,0.606,0.606,0.0
743,286,0.354,0.352,1.32,1.92e-05,0.644,0.644,0.0
744,286,0.354,0.351,1.43,1.92e-05,0.631,0.631,0.0
745,286,0.354,0.352,1.54,1.92e-05,0.631,0.631,0.0
746,287,0.355,0.353,1.59,1.92e-05,0.594,0.594,0.0
747,287,0.356,0.353,1.84,1.92e-05,0.617,0.617,0.0
748,287,0.355,0.353,1.51,1.91e-05,0.62,0.62,0.0
749,288,0.356,0.353,2.44,1.91e-05,0.627,0.627,0.0
750,288,0.354,0.351,1.88,1.91e-05,0.623,0.623,0.0
751,289,0.353,0.35,1.82,1.91e-05,0.6,0.6,0.0
752,289,0.353,0.351,2.06,1.91e-05,0.608,0.608,0.0
753,289,0.354,0.352,0.977,1.91e-05,0.628,0.628,0.0
754,290,0.354,0.351,1.5,1.9e-05,0.613,0.613,0.0
755,290,0.352,0.35,1.34,1.9e-05,0.609,0.609,0.0
756,290,0.353,0.351,1.36,1.9e-05,0.599,0.599,0.0
757,291,0.354,0.352,1.67,1.9e-05,0.588,0.588,0.0
758,291,0.355,0.352,1.38,1.9e-05,0.62,0.62,0.0
759,291,0.355,0.352,2.5,1.9e-05,0.609,0.609,0.0
760,292,0.356,0.354,2.31,1.89e-05,0.616,0.616,0.0
761,292,0.358,0.356,1.48,1.89e-05,0.61,0.61,0.0
762,292,0.354,0.351,1.32,1.89e-05,0.603,0.603,0.0
763,293,0.355,0.353,1.95,1.89e-05,0.597,0.597,0.0
764,293,0.357,0.355,1.8,1.89e-05,0.573,0.573,0.0
765,294,0.356,0.353,1.16,1.89e-05,0.605,0.605,0.0
766,294,0.356,0.354,1.72,1.88e-05,0.584,0.584,0.0
767,294,0.354,0.351,1.21,1.88e-05,0.615,0.615,0.0
768,295,0.353,0.351,0.969,1.88e-05,0.597,0.597,0.0
769,295,0.358,0.356,1.48,1.88e-05,0.603,0.603,0.0
770,295,0.357,0.355,1.24,1.88e-05,0.629,0.629,0.0
771,296,0.356,0.354,1.68,1.88e-05,0.641,0.641,0.0
772,296,0.355,0.352,1.67,1.87e-05,0.617,0.617,0.0
773,296,0.356,0.353,1.49,1.87e-05,0.603,0.603,0.0
774,297,0.355,0.353,1.23,1.87e-05,0.613,0.613,0.0
775,297,0.353,0.35,1.25,1.87e-05,0.594,0.594,0.0
776,298,0.355,0.353,1.48,1.87e-05,0.579,0.579,0.0
777,298,0.356,0.353,1.38,1.87e-05,0.593,0.593,0.0
778,298,0.353,0.351,1.1,1.86e-05,0.613,0.613,0.0
779,299,0.358,0.356,1.35,1.86e-05,0.612,0.612,0.0
780,299,0.353,0.351,1.15,1.86e-05,0.601,0.601,0.0
781,299,0.355,0.352,0.953,1.86e-05,0.605,0.605,0.0
782,300,0.355,0.353,1.12,1.86e-05,0.62,0.62,0.0
783,300,0.353,0.35,1.41,1.86e-05,0.612,0.612,0.0
784,300,0.353,0.351,0.785,1.85e-05,0.616,0.616,0.0
785,301,0.353,0.351,1.41,1.85e-05,0.597,0.597,0.0
786,301,0.355,0.352,1.41,1.85e-05,0.608,0.608,0.0
787,301,0.355,0.352,1.5,1.85e-05,0.565,0.565,0.0
788,302,0.358,0.356,1.69,1.85e-05,0.617,0.617,0.0
789,302,0.355,0.352,1.32,1.85e-05,0.597,0.597,0.0
790,303,0.355,0.353,3.41,1.84e-05,0.611,0.611,0.0
791,303,0.356,0.353,3.23,1.84e-05,0.628,0.628,0.0
792,303,0.356,0.353,1.22,1.84e-05,0.59,0.59,0.0
793,304,0.355,0.353,1.37,1.84e-05,0.595,0.595,0.0
794,304,0.354,0.352,1.57,1.84e-05,0.615,0.615,0.0
795,304,0.356,0.354,1.12,1.84e-05,0.618,0.618,0.0
